PARTE_NUMERO,DESCRIPCION,CANTIDAD_REQUERIDA,CANTIDAD_STOCK,PROVEEDOR_SELECIONADO,VALOR_UNITARIO
MEC0014,EJE_F-27-1.750_8S-IMPETUS_OHF,1,0,TECNO_APLICACIONES,2330000.0
MEC0015,HOUSING_IMPETUS_OHF,1,0,TECNO_APLICACIONES,1700000.0
MEC0007,MEDIA_LUNA_B_AXIAL_IMPETUS,1,4,TECNO_APLICACIONES,262000.0
MEC0006,RING_AXIAL,1,5,TECNO_APLICACIONES,250000.0
MEC0009,MEDIA_LUNA_B_RADIAL_IMPETUS,1,1,TECNO_APLICACIONES,224000.0
MEC0008,RING_RADIAL,1,3,TECNO_APLICACIONES,250000.0
MEC0003,BOCING_DE_PRECARGA_IMPETUS,1,8,TECNO_APLICACIONES,1550000.0
MEC0085,BASE,1,4,TECNO_APLICACIONES,2200000.0
MEC0086,CABEZA,1,6,TECNO_APLICACIONES,1700000.0
MEC0016,SPOOL_PARA_SELLO_TIPO_CARTUCHO_OHF,1,8,TECNO_APLICACIONES,3750000.0
ACH0103,BUJE_DE_BRONCE_PARA_CABEZAL_DE_SELLO,1,5,TECNO_APLICACIONES,600000.0
MEC0073,COUPLING_8S_X_18_S,1,1,TECNO_APLICACIONES,1200000.0
MEC0055,BRACKET_FRAME_14.5_HTC_OHF,1,12,TECNO_APLICACIONES,850000.0
ROD0011,RODAMIENTO_7313_BECBM_SKF,2,4,CESERIN,1457000.0
ROD0004,RODAMIENTO_6013-C3_SKF,2,9,CESERIN,144300.0
SEL0018,SELLO_LABERINTICO_LADO_BOMBA_1.750_X_2.875,1,5,ASEEAL,657406.0
SEL0004,SELLO_LABERINTICO_2.375_X_3.375,1,6,ASEEAL,1200657.0
SEL0019,SELLO_MECANICO_ESTACIONARIO_Ø_1.750_VBSMS3_M,1,4,COFLUIN,4900000.0
ORI0023,O-RING_REF/A-264_VITON,2,2,ENERGY_SISTEM,56456.0
ORI0025,O-RING_2-258_VITÓN,1,1,ENERGY_SISTEM,43414.0
ORI0024,O-RING_VITON_254,1,1,ENERGY_SISTEM,36922.0
ORI0006,O-RING_247_VITON,1,1,ENERGY_SISTEM,28560.0
TOR0114,TORNILLO_CABEZA_BRISTOL_M10-1.5_X_35_mm_C/S_GRADO_8,9,17,ENERGY_SISTEM,744.0
TOR0097,TORNILLO_BRISTOL_A/C_M10_1_1/2_X_35MM,15,20,ENERGY_SISTEM,5686.0
TOR0139,TORNILLO_CABEZA_HEXAGONAL_S/S_M14-2_X_70_mm_DE_LONGITUD,12,15,ENERGY_SISTEM,9774.0
TOR0140,TORNILLO_CABEZA_HEXAGONAL_S/S_M14-2_X_40_mm_DE_LONGITUD,4,16,ENERGY_SISTEM,11778.0
TOR0058,TORNILLO_BRIST_INOX_M12-1.75_X_40_MM,6,14,ENERGY_SISTEM,3420.0
TOR0070,TORNILLO_HEX_INOX_M12-1.75_X_60_MM,12,8,ENERGY_SISTEM,2380.0
TOR0141,ARANDELA_PLANA_INOXIDABLE_Ø_M_12,12,5,ENERGY_SISTEM,4760.0
TOR0038,PRISIONERO_M10_1.5_X_12_MM_S/S,4,1,ENERGY_SISTEM,5680.0
TOR0119,PIN_SEGUER_PARA_EJE_Ø_65_e_=_2_mm_C/S,1,2,VERTICAL,1730.0
MEC0033,PLACA_DE_IDENTIFICACION_HTC,1,5,ENERGY_SISTEM,5712.0
ACH0079,TAPON_Ø_3/4_M-NPTM_S/S,2,3,ENERGY_SISTEM,4395.0
ACH0080,TAPON_Ø_1/2_M-NPTM_S/S,2,1,ENERGY_SISTEM,17453.0
TOR0118,CANCAMO_DE_IZAJE_M12-1.75,1,1,ENERGY_SISTEM,545000.0
ACH0045,FILTRO_DE_SILICA,1,2,ENERGY_SISTEM,14250.0
ACH0107,ADAPTADOR_INOXIDABLE_MACHO_Ø_3/4_NPT_X_HEMBRA_Ø_1_NPT,1,4,ENERGY_SISTEM,12487.0
ACH0011,CODO_CALLE_INOX.SS304_3/4_M_X_3/4H_X_150,1,10,ENERGY_SISTEM,37128.0
SIN1,LLAVE_REGISTRO_DE_BOLA_1/2_INOXIDABLE,1,2,ENERGY_SISTEM,4264.0
SIN2,ADAPTADOR_CONECTOR_DIAM.1/2_X_1/2_M_NPT_JIC-OHF,1,1,ENERGY_SISTEM,8378.0
SIN3,BUSHING_DE_SELLO_CTR-OGSC,1,1,ENERGY_SISTEM,7642.0
SIN4,NIPLE_INOX_SS316_1/2_NPTX_1/2_NPT_X4,1,4,PINTURAS_MG,10000.0
SIN5,ESMALTE_POLIURETANO_COLOR_BLANCO_RAL_9016,1,3,PINTURAS_MG,5000.0
